date,adj_close
2025-08-12 16:00:00,229.68
2025-08-12 17:00:00,229.55
2025-08-12 18:00:00,229.38
2025-08-12 19:00:00,229.6507
2025-08-13 04:00:00,229.95
2025-08-13 05:00:00,229.91
2025-08-13 06:00:00,230.06
2025-08-13 07:00:00,230.01
2025-08-13 08:00:00,230.85
2025-08-13 09:00:00,231.7775
2025-08-13 10:00:00,233.6
2025-08-13 11:00:00,232.665
2025-08-13 12:00:00,232.1068
2025-08-13 13:00:00,233.11
2025-08-13 14:00:00,233.12
2025-08-13 15:00:00,233.32
2025-08-13 16:00:00,233.44
2025-08-13 17:00:00,233.33
2025-08-13 18:00:00,233.29
2025-08-13 19:00:00,233.3
2025-08-14 04:00:00,232.75
2025-08-14 05:00:00,232.66
2025-08-14 06:00:00,232.71
2025-08-14 07:00:00,234.22
2025-08-14 08:00:00,232.6681
2025-08-14 09:00:00,233.41
2025-08-14 10:00:00,231.65
2025-08-14 11:00:00,231.32
2025-08-14 12:00:00,232.4906
2025-08-14 13:00:00,232.705
2025-08-14 14:00:00,232.99
2025-08-14 15:00:00,232.83
2025-08-14 16:00:00,232.78
2025-08-14 17:00:00,232.58
2025-08-14 18:00:00,232.55
2025-08-14 19:00:00,232.28
2025-08-15 04:00:00,232.73
2025-08-15 05:00:00,232.86
2025-08-15 06:00:00,232.73
2025-08-15 07:00:00,233.15
2025-08-15 08:00:00,233.03
2025-08-15 09:00:00,232.06
2025-08-15 10:00:00,230.87
2025-08-15 11:00:00,231.025
2025-08-15 12:00:00,230.9
2025-08-15 13:00:00,230.89
2025-08-15 14:00:00,230.7697
2025-08-15 15:00:00,231.65
2025-08-15 16:00:00,236.5208
2025-08-15 17:00:00,231.3
2025-08-15 18:00:00,231.25
2025-08-15 19:00:00,231.18
2025-08-18 04:00:00,231.11
2025-08-18 05:00:00,231.01
2025-08-18 06:00:00,231.04
2025-08-18 07:00:00,231.27
2025-08-18 08:00:00,231.16
2025-08-18 09:00:00,232.35
2025-08-18 10:00:00,230.51
2025-08-18 11:00:00,230.905
2025-08-18 12:00:00,230.595
2025-08-18 13:00:00,231.08
2025-08-18 14:00:00,231.47
2025-08-18 15:00:00,230.88
2025-08-18 16:00:00,227.2084
2025-08-18 17:00:00,230.9201
2025-08-18 18:00:00,231.05
2025-08-18 19:00:00,230.9
2025-08-19 04:00:00,230.34
2025-08-19 05:00:00,230.4
2025-08-19 06:00:00,230.04
2025-08-19 07:00:00,230.53
2025-08-19 08:00:00,230.21
2025-08-19 09:00:00,232.07
2025-08-19 10:00:00,230.88
2025-08-19 11:00:00,231.395
2025-08-19 12:00:00,230.715
2025-08-19 13:00:00,230.79
2025-08-19 14:00:00,229.76
2025-08-19 15:00:00,230.56
2025-08-19 16:00:00,230.51
2025-08-19 17:00:00,230.47
2025-08-19 18:00:00,230.54
2025-08-19 19:00:00,229.8352
2025-08-20 04:00:00,229.25
2025-08-20 05:00:00,229.23
2025-08-20 06:00:00,229.28
2025-08-20 07:00:00,229.57
2025-08-20 08:00:00,229.33
2025-08-20 09:00:00,227.31
2025-08-20 10:00:00,226.57
2025-08-20 11:00:00,226.5598
2025-08-20 12:00:00,226.27
2025-08-20 13:00:00,226.38
2025-08-20 14:00:00,226.08
2025-08-20 15:00:00,225.96
2025-08-20 16:00:00,225.9
2025-08-20 17:00:00,225.69
2025-08-20 18:00:00,225.64
2025-08-20 19:00:00,225.639
